id,depth,cited_opinion_id,citing_opinion_id
312649007,1,6753868,11297106
312649008,1,11150377,11297106
312649009,1,11147696,11297106
312649010,1,9820326,11297106
312649011,1,11150526,11297106
312649012,3,11018189,11297106
312649013,1,3780767,11297106
312649014,1,11147691,11297106
312649015,1,9891331,11297106
312649016,1,9882360,11297106
312649017,1,9801129,11297106
312649018,4,4315973,11297106
312649019,1,3780992,11297106
312649020,1,9801236,11297106
312649137,1,214960,11297121
312649138,1,187397,11297121
312648996,1,6753697,11297105
312648997,1,2691308,11297105
312648998,1,6329042,11297105
312648999,1,3682696,11297105
312649000,1,11152238,11297105
312649001,1,6771010,11297105
312649002,1,11080344,11297105
312649003,1,6762743,11297105
312649004,1,2690902,11297105
312649052,2,9879572,11297113
312649053,2,379539,11297113
312649054,1,4736677,11297113
312649055,1,78259,11297113
312649056,2,396175,11297113
312649057,1,770341,11297113
312649058,1,2816283,11297113
312649059,1,91710,11297113
312649060,1,8976449,11297113
312649061,1,9427408,11297113
312649062,1,6353492,11297113
312649063,1,4642272,11297113
312650611,1,9878376,11297289
312650612,1,2769408,11297289
312650613,1,1061627,11297289
312650614,1,1062990,11297289
312650615,1,1059832,11297289
312650616,1,1395540,11297289
312650617,1,1058593,11297289
312650618,2,1062310,11297289
312650619,1,9795100,11297289
312650620,1,1059448,11297289
312650621,1,1059483,11297289
312650622,1,1059215,11297289
312650673,1,9424363,11297293
312650674,1,4358760,11297293
312650675,1,4093256,11297293
312650676,1,1297379,11297293
312650677,2,1067261,11297293
312650678,1,6205942,11297293
312650679,2,6806843,11297293
312650680,2,4409094,11297293
312650681,8,1057967,11297293
312650682,5,9524637,11297293
312650683,1,526756,11297293
312650684,8,2791751,11297293
312650685,1,1272164,11297293
312650686,1,1065052,11297293
312650687,1,6810363,11297293
312650688,2,1063886,11297293
312650689,2,1064521,11297293
312650690,1,4265373,11297293
312650691,1,1058058,11297293
312650692,1,1059060,11297294
312650693,1,4392018,11297294
312650694,1,1294268,11297294
312650695,1,4112083,11297294
312650696,4,9883214,11297294
312650697,1,1256751,11297294
312650698,7,9540155,11297294
312650699,4,1067549,11297294
312650700,1,6814755,11297294
312650701,8,9576098,11297294
312650702,1,4232947,11297294
312650703,2,6817149,11297294
312650704,1,1058119,11297294
312650705,1,4303468,11297294
312650706,2,1067627,11297294
312650707,3,1265745,11297294
312650708,1,2769408,11297294
312650709,3,9883497,11297294
312650710,1,1290894,11297294
312650711,2,9876355,11297294
312650712,1,1058452,11297294
312650713,1,9589096,11297294
312650714,1,1236972,11297294
312650715,3,1059554,11297294
